"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"1"	0	0.797	0.82	1.033	1.089	0.929	0.916	0.922	0.878	0.873	0.934	0.849	1.325	1.177	1.128	1.325	1.153	1.248	1.252	1.286	1.389	1.288	1.512	1.184	1.258	1.291	1.167	1.326	1.455	1.41	1.316	1.296	1.46	1.363	1.359	1.199	1.587	1.487	1.37	1.19	1.268	1.229	1.354	1.239	1.256	1.211	1.197	1.223	1.432	1.43	1.347	1.316	1.255	1.446	1.277	1.267	1.334	1.29	1.427	1.247	1.252	1.28	1.457	1.503	1.319	1.396	1.484	1.449	1.306	1.589	1.478	1.591	1.601	1.521	1.547	1.234	1.451	1.394	1.394	1.486	1.522	1.411	1.397	1.368	1.23	1.339	1.277	1.27	1.267	1.411	1.36	1.3	1.382	1.258	1.237	1.211	1.423	1.355	1.286	1.569
"2"	0.797	0	0.979	0.949	1.124	0.858	0.876	1.041	0.838	0.843	0.919	0.911	1.32	1.148	1.107	1.218	0.944	1.04	1.22	1.354	1.222	1.139	1.43	1.045	1.117	1.053	1.026	1.131	1.285	1.266	1.181	1.139	1.271	1.183	1.183	1.081	1.317	1.342	1.153	1.041	1.17	1.205	1.359	1.162	1.179	1.131	1.108	1.206	1.271	1.336	1.263	1.157	1.143	1.333	1.166	1.127	1.195	1.152	1.197	1.15	1.191	1.13	1.324	1.373	1.222	1.247	1.282	1.177	1.137	1.425	1.349	1.398	1.394	1.341	1.397	1.208	1.302	1.235	1.158	1.274	1.259	1.283	1.204	1.202	1.14	1.123	1.153	1.123	1.144	1.302	1.251	1.17	1.182	1.097	1.069	1.163	1.425	1.237	1.143	1.301
"3"	0.82	0.979	0	1.277	1.324	1.065	1.11	0.922	1.098	1.186	1.122	1.092	1.596	1.491	1.478	1.626	1.291	1.457	1.521	1.577	1.611	1.536	1.75	1.363	1.471	1.35	1.127	1.377	1.452	1.512	1.417	1.485	1.727	1.539	1.627	1.539	1.735	1.771	1.503	1.439	1.417	1.334	1.541	1.342	1.399	1.278	1.284	1.284	1.486	1.438	1.404	1.316	1.252	1.542	1.352	1.285	1.451	1.336	1.418	1.292	1.285	1.314	1.484	1.644	1.467	1.507	1.507	1.503	1.492	1.61	1.443	1.651	1.662	1.52	1.628	1.377	1.556	1.483	1.586	1.668	1.671	1.63	1.541	1.354	1.404	1.509	1.423	1.393	1.426	1.615	1.504	1.39	1.507	1.402	1.376	1.331	1.59	1.611	1.5	1.779
"4"	1.033	0.949	1.277	0	0.965	0.814	0.822	1.086	0.795	0.926	0.907	0.893	1.129	0.94	0.849	1.103	0.971	1.115	1.309	1.246	1.19	1.129	1.457	1.019	1.265	1.086	1.055	1.188	1.315	1.228	1.194	1.073	1.284	1.168	1.132	1.044	1.243	1.285	1.157	1.038	1.194	1.278	1.349	1.323	1.241	1.226	1.273	1.269	1.427	1.397	1.324	1.263	1.303	1.386	1.27	1.263	1.215	1.244	1.375	1.262	1.359	1.295	1.32	1.435	1.178	1.225	1.259	1.279	1.126	1.41	1.381	1.508	1.5	1.351	1.391	1.219	1.471	1.294	1.255	1.22	1.328	1.416	1.212	1.303	1.17	1.227	1.221	1.215	1.205	1.342	1.32	1.237	1.246	1.078	1.138	1.171	1.415	1.17	1.078	1.279
"5"	1.089	1.124	1.324	0.965	0	1.128	1.196	1.28	1.092	1.143	1.077	0.986	1.149	1.158	1.097	1.088	1.11	1.04	1.224	1.073	1.391	1.347	1.365	1.248	1.359	1.229	1.279	1.311	1.407	1.395	1.333	1.338	1.4	1.448	1.153	1.011	1.455	1.462	1.356	1.191	1.181	1.155	1.248	1.211	1.447	1.293	1.408	1.364	1.554	1.45	1.304	1.468	1.423	1.476	1.446	1.464	1.344	1.489	1.463	1.377	1.404	1.428	1.484	1.537	1.24	1.38	1.551	1.617	1.275	1.735	1.487	1.771	1.725	1.529	1.596	1.231	1.654	1.432	1.522	1.486	1.478	1.468	1.332	1.464	1.278	1.333	1.3	1.291	1.381	1.414	1.404	1.46	1.412	1.08	1.374	1.33	1.445	1.079	1.238	1.452
"6"	0.929	0.858	1.065	0.814	1.128	0	0.702	0.915	0.756	1.04	0.916	0.973	1.232	1.145	1.068	1.361	1.095	1.22	1.475	1.434	1.36	1.246	1.604	1.144	1.295	1.092	1.029	1.192	1.316	1.308	1.212	1.107	1.36	1.185	1.269	1.173	1.26	1.3	1.164	1.166	1.228	1.321	1.441	1.358	1.276	1.278	1.296	1.347	1.451	1.45	1.454	1.241	1.283	1.468	1.257	1.173	1.258	1.243	1.32	1.238	1.337	1.239	1.342	1.472	1.271	1.275	1.239	1.238	1.229	1.276	1.289	1.488	1.527	1.335	1.462	1.281	1.398	1.216	1.33	1.256	1.468	1.485	1.349	1.274	1.256	1.303	1.365	1.271	1.218	1.509	1.341	1.287	1.281	1.215	1.218	1.233	1.527	1.358	1.137	1.369
"7"	0.916	0.876	1.11	0.822	1.196	0.702	0	0.971	0.705	0.936	0.943	0.956	1.203	1.093	0.969	1.299	1.081	1.198	1.391	1.345	1.22	1.138	1.485	1.024	1.202	1.109	0.977	1.142	1.313	1.218	1.161	1.034	1.279	1.124	1.241	1.195	1.307	1.229	1.14	1.052	1.208	1.333	1.422	1.288	1.16	1.256	1.208	1.276	1.381	1.416	1.441	1.237	1.235	1.435	1.199	1.119	1.186	1.165	1.323	1.206	1.25	1.178	1.278	1.352	1.209	1.207	1.194	1.225	1.13	1.285	1.336	1.409	1.42	1.329	1.379	1.199	1.303	1.175	1.166	1.19	1.392	1.34	1.285	1.269	1.219	1.211	1.309	1.191	1.164	1.411	1.225	1.181	1.205	1.196	1.144	1.126	1.368	1.321	1.09	1.273
"8"	0.922	1.041	0.922	1.086	1.28	0.915	0.971	0	0.967	1.121	0.963	1.06	1.546	1.384	1.339	1.548	1.266	1.467	1.634	1.577	1.64	1.519	1.818	1.402	1.581	1.405	1.23	1.411	1.556	1.598	1.513	1.484	1.739	1.628	1.593	1.46	1.668	1.734	1.498	1.449	1.516	1.466	1.654	1.539	1.533	1.451	1.495	1.537	1.69	1.608	1.62	1.419	1.438	1.695	1.508	1.377	1.559	1.464	1.571	1.458	1.471	1.491	1.563	1.746	1.521	1.587	1.548	1.524	1.526	1.545	1.514	1.743	1.742	1.566	1.699	1.498	1.682	1.579	1.628	1.625	1.761	1.753	1.611	1.473	1.525	1.591	1.54	1.543	1.543	1.751	1.59	1.487	1.618	1.468	1.459	1.449	1.757	1.641	1.518	1.734
"9"	0.878	0.838	1.098	0.795	1.092	0.756	0.705	0.967	0	0.903	0.832	0.843	1.175	1.03	0.903	1.174	0.999	1.123	1.272	1.249	1.18	1.094	1.453	0.991	1.132	1.055	0.982	1.14	1.254	1.207	1.152	1.024	1.237	1.119	1.173	1.067	1.273	1.209	1.131	1.07	1.172	1.267	1.354	1.251	1.186	1.208	1.183	1.237	1.358	1.412	1.307	1.174	1.177	1.364	1.134	1.125	1.117	1.161	1.273	1.108	1.206	1.153	1.254	1.327	1.182	1.182	1.216	1.199	1.116	1.349	1.26	1.451	1.432	1.316	1.378	1.159	1.324	1.14	1.19	1.187	1.334	1.34	1.217	1.162	1.087	1.168	1.221	1.142	1.116	1.36	1.237	1.119	1.183	1.127	1.09	1.112	1.383	1.242	1.074	1.298
"10"	0.873	0.843	1.186	0.926	1.143	1.04	0.936	1.121	0.903	0	0.801	0.826	1.079	0.877	0.908	1.045	1.048	1.123	1.055	1.204	1.15	0.999	1.193	0.928	1.017	1.089	1.025	1.101	1.251	1.154	1.113	1.112	1.243	1.229	1.157	1.056	1.359	1.283	1.173	0.987	1.09	1.099	1.205	1.104	1.132	1.148	1.099	1.106	1.202	1.291	1.221	1.111	1.141	1.255	1.149	1.181	1.198	1.136	1.342	1.141	1.183	1.151	1.262	1.275	1.103	1.239	1.325	1.26	1.146	1.434	1.364	1.399	1.436	1.318	1.362	1.162	1.308	1.344	1.163	1.342	1.276	1.193	1.145	1.322	1.189	1.095	1.1	1.19	1.118	1.154	1.157	1.138	1.248	1.124	1.148	1.125	1.294	1.288	1.182	1.307
