"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"1"	0	0.905	0.999	1.074	1.057	1.203	1.025	1.053	0.964	1.008	1.516	1.487	1.384	1.87	1.75	1.564	1.663	1.205	1.161	1.287	1.077	1.232	1.214	0.967	1.151	1.342	1.219	1.209	1.351	1.336	1.647	1.623	1.577	1.584	1.711	1.532	1.589	1.61	1.378	1.291	1.673	1.471	1.491	1.722	1.609	1.41	1.434	1.652	1.357	1.701	1.496	1.715	1.629	1.872	1.879	1.625	1.349	1.418	1.541	1.431	1.286	1.387	1.519	2.011	1.989	1.795	1.744	1.636	1.454	1.487	1.653	1.407	1.559	1.639	1.562	1.575	1.535	1.595	1.675	1.884	1.711	1.675	1.625	1.498	1.678	1.689	1.685	1.542	1.515	1.424	1.579	1.41	1.626	1.635	1.495	1.584	1.459	1.615	1.732	1.513
"2"	0.905	0	0.86	1.09	1.098	0.897	0.872	0.982	0.955	0.942	1.303	1.255	1.32	1.602	1.419	1.287	1.347	1.066	1.042	1.074	0.969	1.032	1.054	0.946	1.161	1.112	1.23	1.118	1.103	1.281	1.559	1.365	1.423	1.43	1.645	1.377	1.434	1.468	1.189	1.275	1.466	1.485	1.447	1.645	1.417	1.352	1.502	1.465	1.229	1.364	1.464	1.441	1.351	1.614	1.759	1.549	1.356	1.414	1.402	1.434	1.194	1.219	1.414	1.724	1.79	1.673	1.569	1.438	1.444	1.467	1.691	1.446	1.445	1.637	1.372	1.499	1.5	1.422	1.768	1.699	1.584	1.451	1.419	1.394	1.498	1.563	1.518	1.349	1.446	1.523	1.553	1.501	1.507	1.785	1.48	1.564	1.569	1.615	1.793	1.445
"3"	0.999	0.86	0	0.921	1.012	1.123	1.006	0.912	1.016	1.083	1.129	1.132	1.146	1.443	1.281	1.223	1.248	1.212	1.318	1.244	1.093	1.247	1.23	1.03	1.106	1.164	1.057	1.217	1.182	1.214	1.591	1.546	1.537	1.471	1.829	1.51	1.397	1.491	1.308	1.328	1.526	1.363	1.35	1.557	1.525	1.4	1.298	1.384	1.37	1.56	1.609	1.574	1.592	1.718	1.706	1.679	1.491	1.493	1.422	1.415	1.342	1.51	1.38	1.752	1.707	1.529	1.639	1.594	1.403	1.369	1.644	1.418	1.415	1.506	1.415	1.537	1.482	1.43	1.727	1.54	1.789	1.572	1.554	1.455	1.507	1.559	1.465	1.418	1.48	1.611	1.682	1.532	1.737	1.904	1.682	1.742	1.703	1.804	1.918	1.64
"4"	1.074	1.09	0.921	0	0.974	1.324	1.229	1.181	1.256	1.339	1.427	1.285	1.358	1.623	1.633	1.443	1.417	1.444	1.471	1.529	1.376	1.508	1.508	1.232	1.237	1.475	1.308	1.428	1.238	1.452	1.827	1.746	1.727	1.65	1.902	1.697	1.66	1.731	1.551	1.574	1.733	1.536	1.599	1.801	1.592	1.708	1.556	1.553	1.486	1.74	1.806	1.806	1.767	1.844	1.923	1.837	1.727	1.692	1.648	1.586	1.501	1.662	1.522	1.936	2.012	1.759	1.894	1.756	1.563	1.566	1.839	1.596	1.61	1.547	1.589	1.641	1.646	1.669	1.852	1.734	1.971	1.776	1.723	1.531	1.717	1.784	1.711	1.703	1.685	1.804	1.907	1.755	1.917	2.026	1.896	1.924	1.894	1.983	2.179	1.826
"5"	1.057	1.098	1.012	0.974	0	1.189	1.05	1.241	1.02	0.999	1.336	1.338	1.439	1.79	1.7	1.528	1.551	1.33	1.461	1.296	1.399	1.351	1.334	1.052	1.291	1.468	1.216	1.258	1.207	1.407	1.693	1.557	1.601	1.647	1.699	1.611	1.605	1.699	1.512	1.454	1.708	1.641	1.596	1.723	1.52	1.679	1.64	1.65	1.435	1.743	1.86	1.846	1.757	1.873	1.952	1.717	1.613	1.564	1.628	1.588	1.441	1.524	1.584	2.009	2.017	1.819	1.873	1.78	1.502	1.521	1.758	1.481	1.612	1.601	1.611	1.618	1.641	1.581	1.771	1.793	1.77	1.736	1.651	1.553	1.712	1.756	1.664	1.594	1.561	1.658	1.76	1.67	1.727	1.823	1.721	1.767	1.701	1.811	1.981	1.648
"6"	1.203	0.897	1.123	1.324	1.189	0	1.002	1.047	0.99	1.024	1.316	1.363	1.424	1.647	1.552	1.449	1.383	1.146	1.17	0.931	1.208	1.144	1.202	0.983	1.258	1.341	1.334	1.204	1.085	1.369	1.484	1.298	1.491	1.453	1.566	1.397	1.507	1.502	1.303	1.401	1.5	1.644	1.683	1.717	1.273	1.437	1.76	1.523	1.251	1.361	1.779	1.498	1.356	1.51	1.861	1.537	1.428	1.485	1.517	1.619	1.245	1.243	1.592	1.867	1.838	1.831	1.739	1.574	1.492	1.552	1.748	1.406	1.437	1.682	1.401	1.5	1.556	1.383	1.836	1.675	1.521	1.479	1.389	1.393	1.578	1.626	1.477	1.343	1.316	1.446	1.512	1.53	1.411	1.86	1.481	1.486	1.561	1.557	1.831	1.347
"7"	1.025	0.872	1.006	1.229	1.05	1.002	0	0.87	0.885	0.866	1.225	1.184	1.226	1.593	1.449	1.347	1.337	1.098	1.185	1.058	0.96	1.023	1.074	0.978	1.209	1.196	1.064	1.093	1.222	1.265	1.442	1.332	1.314	1.356	1.527	1.355	1.396	1.365	1.123	1.066	1.435	1.408	1.324	1.584	1.371	1.308	1.379	1.458	1.279	1.427	1.437	1.416	1.39	1.704	1.702	1.684	1.332	1.362	1.346	1.334	1.132	1.366	1.348	1.703	1.713	1.653	1.476	1.478	1.37	1.358	1.454	1.21	1.337	1.584	1.348	1.358	1.349	1.316	1.484	1.568	1.503	1.451	1.431	1.397	1.417	1.481	1.374	1.225	1.301	1.358	1.424	1.334	1.398	1.589	1.425	1.445	1.425	1.416	1.529	1.326
"8"	1.053	0.982	0.912	1.181	1.241	1.047	0.87	0	0.974	1.077	1.158	1.239	1.215	1.485	1.428	1.377	1.284	1.126	1.189	1.218	0.958	1.196	1.133	1.01	1.182	1.179	1.056	1.219	1.239	1.145	1.494	1.443	1.46	1.348	1.727	1.45	1.416	1.328	1.194	1.161	1.382	1.246	1.33	1.563	1.429	1.278	1.256	1.364	1.319	1.502	1.452	1.436	1.421	1.701	1.634	1.691	1.349	1.405	1.344	1.347	1.235	1.495	1.374	1.71	1.634	1.548	1.626	1.519	1.344	1.361	1.402	1.195	1.341	1.536	1.335	1.364	1.307	1.331	1.59	1.491	1.657	1.526	1.507	1.376	1.416	1.544	1.433	1.366	1.331	1.404	1.53	1.299	1.536	1.749	1.511	1.554	1.51	1.492	1.618	1.46
"9"	0.964	0.955	1.016	1.256	1.02	0.99	0.885	0.974	0	0.811	1.17	1.226	1.172	1.631	1.464	1.335	1.413	0.928	1.108	0.95	1.1	0.998	1.06	0.82	0.983	1.179	1.112	0.818	1.036	1.166	1.332	1.225	1.279	1.432	1.432	1.317	1.299	1.26	1.139	1.103	1.436	1.362	1.362	1.432	1.334	1.277	1.409	1.446	1.149	1.342	1.49	1.418	1.332	1.562	1.659	1.478	1.308	1.361	1.322	1.338	1.11	1.207	1.38	1.784	1.7	1.624	1.548	1.418	1.301	1.283	1.541	1.235	1.364	1.48	1.344	1.28	1.283	1.296	1.574	1.548	1.441	1.462	1.462	1.347	1.47	1.549	1.431	1.348	1.327	1.329	1.447	1.438	1.467	1.632	1.378	1.471	1.387	1.489	1.592	1.361
"10"	1.008	0.942	1.083	1.339	0.999	1.024	0.866	1.077	0.811	0	1.252	1.351	1.385	1.781	1.616	1.508	1.535	1.166	1.308	1.086	1.16	1.126	1.15	0.919	1.265	1.359	1.173	1.076	1.235	1.295	1.453	1.297	1.393	1.467	1.577	1.463	1.51	1.466	1.297	1.253	1.593	1.53	1.455	1.578	1.418	1.388	1.538	1.588	1.271	1.543	1.654	1.657	1.519	1.75	1.861	1.551	1.327	1.416	1.462	1.463	1.268	1.353	1.555	1.924	1.832	1.812	1.698	1.632	1.451	1.5	1.65	1.313	1.488	1.647	1.447	1.48	1.494	1.458	1.699	1.733	1.506	1.589	1.546	1.525	1.627	1.689	1.581	1.432	1.385	1.355	1.498	1.399	1.506	1.684	1.469	1.498	1.41	1.449	1.631	1.392
