"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"1"	0	0.778	0.744	0.73	0.711	0.677	0.811	0.817	0.798	0.707	0.888	0.715	0.7	0.735	1.063	0.971	1.015	1.036	0.873	0.954	0.953	0.948	1.095	0.884	0.883	1.179	0.991	1.087	1.268	1.353	1.84	1.578	1.573	1.748	1.949	1.578	1.647	1.687	1.462	1.361	1.702	1.599	1.607	1.896	1.501	1.462	1.423	1.539	1.42	1.462	1.584	1.498	1.327	1.518	1.732	1.585	1.578	1.736	1.805	1.767	1.257	1.229	1.636	1.972	1.809	1.722	1.796	1.815	1.577	1.489	1.82	1.638	1.616	1.775	1.559	1.583	1.674	1.585	2.051	1.77	1.545	1.494	1.568	1.497	1.702	1.749	1.672	1.48	1.698	1.572	1.882	1.66	1.708	1.973	1.585	1.708	1.599	1.727	1.824	1.617
"2"	0.778	0	0.752	0.673	0.768	0.702	0.87	0.941	0.978	0.812	0.832	0.628	0.931	0.693	0.899	0.822	0.955	1.024	0.938	1.017	0.916	0.899	1.117	1.001	1.036	1.121	1.032	1.19	1.166	1.393	1.946	1.551	1.573	1.717	2.034	1.666	1.7	1.772	1.418	1.451	1.72	1.658	1.59	1.946	1.472	1.524	1.551	1.478	1.413	1.366	1.511	1.523	1.41	1.558	1.753	1.597	1.548	1.745	1.777	1.755	1.385	1.128	1.656	1.816	1.749	1.711	1.766	1.79	1.644	1.614	2.003	1.773	1.757	1.907	1.604	1.708	1.865	1.698	2.229	1.862	1.687	1.592	1.587	1.625	1.718	1.793	1.785	1.519	1.798	1.766	1.965	1.805	1.788	2.09	1.677	1.823	1.808	1.881	1.957	1.708
"3"	0.744	0.752	0	0.807	0.691	0.705	0.977	0.846	0.772	0.732	0.652	0.767	0.839	0.701	0.757	0.837	0.955	1.013	0.981	0.869	0.935	0.904	1.074	0.926	0.876	1.121	0.906	1.054	1.136	1.255	1.751	1.499	1.579	1.623	2.007	1.616	1.55	1.696	1.37	1.381	1.633	1.582	1.526	1.799	1.44	1.371	1.415	1.375	1.375	1.391	1.569	1.488	1.381	1.463	1.649	1.412	1.466	1.654	1.676	1.697	1.337	1.071	1.595	1.888	1.649	1.634	1.757	1.779	1.483	1.471	1.904	1.629	1.608	1.726	1.545	1.632	1.732	1.521	2.15	1.686	1.626	1.523	1.476	1.551	1.628	1.661	1.626	1.398	1.646	1.59	1.835	1.65	1.694	2.019	1.526	1.673	1.609	1.788	1.829	1.57
"4"	0.73	0.673	0.807	0	0.742	0.769	0.886	0.904	0.984	0.925	0.929	0.638	0.895	0.708	0.948	0.907	0.95	1.028	0.963	1.095	0.964	0.847	1.126	0.968	0.932	1.125	1.036	1.084	1.124	1.402	1.952	1.611	1.582	1.721	2.025	1.628	1.66	1.781	1.486	1.434	1.702	1.636	1.615	1.994	1.495	1.566	1.508	1.488	1.424	1.399	1.526	1.552	1.33	1.595	1.752	1.555	1.587	1.741	1.771	1.774	1.286	1.16	1.597	1.869	1.766	1.701	1.747	1.696	1.552	1.444	1.876	1.667	1.633	1.741	1.492	1.557	1.695	1.582	2.105	1.752	1.545	1.479	1.473	1.452	1.623	1.657	1.651	1.44	1.709	1.672	1.912	1.686	1.693	2.007	1.563	1.709	1.634	1.788	1.868	1.643
"5"	0.711	0.768	0.691	0.742	0	0.713	0.697	0.851	0.82	0.796	0.784	0.704	0.851	0.676	0.916	0.88	0.936	1.033	0.85	0.925	0.907	0.888	1.067	0.902	0.914	1.099	0.899	1.061	1.232	1.343	1.797	1.556	1.541	1.677	1.911	1.503	1.585	1.696	1.406	1.354	1.619	1.559	1.528	1.835	1.485	1.423	1.413	1.446	1.405	1.418	1.518	1.457	1.355	1.502	1.665	1.505	1.509	1.667	1.711	1.708	1.207	1.167	1.539	1.847	1.723	1.635	1.684	1.754	1.505	1.422	1.785	1.576	1.547	1.71	1.497	1.522	1.656	1.456	1.997	1.672	1.489	1.432	1.419	1.446	1.522	1.592	1.562	1.348	1.611	1.553	1.777	1.616	1.584	1.909	1.527	1.62	1.55	1.718	1.751	1.506
"6"	0.677	0.702	0.705	0.769	0.713	0	0.824	0.743	0.734	0.702	0.76	0.651	0.782	0.759	1.015	0.888	1.049	0.919	0.792	0.876	1.004	0.916	1.144	0.85	0.916	1.151	0.905	1.093	1.139	1.246	1.764	1.539	1.586	1.673	1.971	1.587	1.592	1.637	1.411	1.326	1.666	1.549	1.613	1.882	1.464	1.42	1.467	1.501	1.373	1.398	1.596	1.499	1.369	1.496	1.724	1.565	1.497	1.707	1.781	1.754	1.316	1.138	1.662	1.898	1.725	1.729	1.825	1.764	1.495	1.463	1.795	1.582	1.611	1.795	1.483	1.528	1.641	1.529	2.045	1.745	1.56	1.488	1.516	1.481	1.59	1.665	1.631	1.413	1.596	1.535	1.768	1.583	1.642	1.929	1.502	1.643	1.563	1.7	1.769	1.565
"7"	0.811	0.87	0.977	0.886	0.697	0.824	0	0.875	0.967	0.843	0.917	0.788	0.968	0.786	1.2	1.08	1.103	1.028	0.883	0.966	0.887	0.958	1.142	0.981	1.125	1.158	0.985	1.251	1.301	1.326	1.746	1.452	1.441	1.599	1.795	1.464	1.558	1.596	1.306	1.215	1.569	1.506	1.465	1.808	1.372	1.373	1.395	1.477	1.337	1.363	1.443	1.352	1.289	1.431	1.615	1.579	1.444	1.602	1.681	1.625	1.215	1.242	1.497	1.737	1.654	1.653	1.625	1.707	1.45	1.466	1.656	1.507	1.496	1.752	1.469	1.477	1.61	1.442	1.876	1.692	1.452	1.392	1.419	1.464	1.519	1.558	1.548	1.304	1.496	1.473	1.677	1.533	1.478	1.755	1.535	1.586	1.561	1.555	1.617	1.453
"8"	0.817	0.941	0.846	0.904	0.851	0.743	0.875	0	0.799	0.806	0.744	0.918	0.978	0.819	1.138	1.048	1.086	0.92	0.906	0.98	0.938	1.023	1.046	0.842	1.021	1.136	0.89	1.251	1.243	1.215	1.649	1.444	1.544	1.599	1.96	1.588	1.511	1.563	1.345	1.327	1.648	1.475	1.546	1.83	1.446	1.435	1.344	1.487	1.332	1.416	1.552	1.425	1.348	1.5	1.637	1.538	1.503	1.655	1.7	1.692	1.326	1.247	1.588	1.874	1.679	1.648	1.846	1.787	1.44	1.431	1.669	1.477	1.504	1.713	1.476	1.496	1.549	1.473	1.961	1.665	1.526	1.484	1.5	1.536	1.603	1.685	1.564	1.418	1.492	1.535	1.764	1.516	1.545	1.878	1.489	1.569	1.567	1.58	1.637	1.547
"9"	0.798	0.978	0.772	0.984	0.82	0.734	0.967	0.799	0	0.749	0.816	0.848	0.797	0.921	1.071	1.086	1.143	0.923	0.873	0.838	1.006	0.963	1.118	0.747	0.768	1.122	1.017	0.959	1.188	1.12	1.564	1.412	1.491	1.617	1.734	1.419	1.431	1.459	1.322	1.191	1.504	1.381	1.503	1.666	1.381	1.297	1.291	1.418	1.294	1.317	1.517	1.333	1.254	1.347	1.614	1.452	1.423	1.59	1.633	1.586	1.21	1.139	1.579	1.919	1.627	1.653	1.702	1.688	1.491	1.426	1.724	1.505	1.54	1.711	1.52	1.495	1.531	1.465	1.98	1.647	1.54	1.483	1.56	1.511	1.616	1.701	1.602	1.483	1.534	1.471	1.67	1.547	1.587	1.871	1.463	1.599	1.498	1.618	1.644	1.509
"10"	0.707	0.812	0.732	0.925	0.796	0.702	0.843	0.806	0.749	0	0.796	0.843	0.797	0.791	1.03	0.955	1.033	0.963	0.929	0.925	0.972	0.941	1.166	0.824	0.893	1.158	0.911	1.097	1.312	1.194	1.678	1.417	1.524	1.647	1.9	1.566	1.522	1.563	1.351	1.278	1.639	1.501	1.496	1.751	1.422	1.356	1.331	1.448	1.323	1.339	1.571	1.434	1.344	1.409	1.682	1.479	1.428	1.637	1.677	1.656	1.28	1.148	1.63	1.891	1.655	1.689	1.748	1.795	1.53	1.486	1.79	1.579	1.569	1.775	1.53	1.563	1.639	1.518	2.041	1.688	1.56	1.462	1.566	1.561	1.651	1.731	1.631	1.449	1.576	1.455	1.727	1.543	1.634	1.895	1.534	1.646	1.565	1.582	1.683	1.555
