"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"1"	0	0.647	0.821	0.991	0.891	0.923	0.792	0.797	0.802	0.773	1.061	0.947	1.236	1.154	1.01	0.984	0.949	1.083	1.013	0.937	1.092	1.073	1.227	1.126	1.181	1.308	1.25	1.405	1.645	1.472	1.283	1.188	1.063	1.184	1.092	1.04	1.318	1.191	1.275	1.052	1.184	1.3	1.188	1.199	1.246	1.26	1.262	1.254	1.397	1.551	1.275	1.302	1.424	1.467	1.456	1.31	1.36	1.287	1.224	1.451	1.373	1.451	1.556	1.463	1.344	1.334	1.351	1.157	1.066	1.677	1.752	1.651	1.58	1.48	1.406	1.243	1.42	1.259	1.143	1.19	1.224	1.172	1.234	1.235	1.168	1.234	1.078	1.144	1.262	1.251	1.452	1.23	1.142	0.951	1.052	1.146	1.148	0.972	0.994	1.126
"2"	0.647	0	0.802	1.023	0.971	0.856	0.789	0.849	0.795	0.809	0.965	0.888	1.168	1.123	1.011	0.924	0.82	0.943	0.911	0.991	1.012	0.921	1.176	1.032	1.035	1.101	1.062	1.268	1.516	1.343	1.146	0.999	0.939	1.017	0.97	0.981	1.154	1.088	1.135	0.959	1.019	1.244	1.07	1.163	1.158	1.158	1.172	1.151	1.271	1.461	1.184	1.153	1.242	1.293	1.27	1.138	1.194	1.113	1.074	1.331	1.191	1.235	1.435	1.347	1.258	1.247	1.29	1.044	0.997	1.585	1.579	1.576	1.438	1.388	1.346	1.164	1.305	1.15	1.011	1.061	1.026	1.036	1.1	1.107	1.018	1.083	0.988	0.959	1.1	1.144	1.336	1.067	0.96	0.891	0.986	1.003	1.104	0.913	0.856	0.945
"3"	0.821	0.802	0	1.303	1.238	1.166	1.001	1.076	1.075	0.962	1.224	1.138	1.293	1.34	1.271	1.238	1.049	1.189	0.968	1.099	1.022	1.097	1.061	1.014	1.027	1.175	1.048	1.239	1.456	1.312	1.107	1.143	1.108	1.082	1.27	1.314	1.32	1.257	1.195	1.003	1.074	1.088	1.091	0.966	1.128	1.106	1.061	0.992	1.073	1.334	1.105	1.127	1.184	1.25	1.276	1.11	1.172	1.084	1.002	1.249	1.131	1.229	1.329	1.308	1.192	1.176	1.146	1.051	1.008	1.575	1.553	1.459	1.401	1.305	1.231	1.092	1.228	1.148	1.058	1.208	1.151	1.017	1.141	1.164	1.169	1.128	0.966	1.036	1.135	1.16	1.286	1.063	1.071	0.958	1.008	0.996	0.931	1.106	1.016	1.106
"4"	0.991	1.023	1.303	0	0.575	0.775	0.837	0.768	0.761	0.877	0.971	0.965	1.063	0.833	0.749	0.847	1.121	1.066	1.302	1.015	1.258	1.183	1.32	1.203	1.286	1.291	1.35	1.47	1.702	1.545	1.419	1.215	1.178	1.305	1.035	0.965	1.159	1.191	1.307	1.161	1.273	1.392	1.34	1.516	1.472	1.548	1.634	1.586	1.788	1.796	1.58	1.502	1.699	1.656	1.657	1.494	1.421	1.485	1.536	1.643	1.633	1.641	1.624	1.632	1.357	1.399	1.398	1.33	1.238	1.634	1.696	1.888	1.814	1.562	1.59	1.434	1.66	1.389	1.36	1.19	1.474	1.514	1.395	1.501	1.353	1.391	1.374	1.407	1.46	1.515	1.603	1.496	1.45	1.137	1.357	1.395	1.524	0.915	1.005	1.055
"5"	0.891	0.971	1.238	0.575	0	0.659	0.756	0.705	0.713	0.841	0.991	0.976	0.971	0.9	0.798	0.902	1.099	1.079	1.283	0.979	1.244	1.229	1.289	1.166	1.243	1.292	1.308	1.43	1.679	1.492	1.372	1.137	1.083	1.273	0.953	0.914	1.107	1.101	1.231	1.111	1.212	1.323	1.272	1.39	1.368	1.473	1.571	1.515	1.698	1.72	1.513	1.413	1.645	1.609	1.61	1.417	1.397	1.47	1.468	1.582	1.564	1.621	1.577	1.58	1.251	1.34	1.346	1.3	1.145	1.556	1.632	1.821	1.739	1.446	1.524	1.348	1.584	1.297	1.289	1.121	1.454	1.435	1.34	1.44	1.34	1.337	1.287	1.365	1.43	1.514	1.498	1.419	1.377	1.035	1.284	1.327	1.39	0.854	0.929	0.971
"6"	0.923	0.856	1.166	0.775	0.659	0	0.701	0.859	0.649	0.845	0.912	0.908	0.772	0.785	0.789	0.859	0.982	1.029	1.155	0.911	1.167	1.047	1.155	1.078	1.067	1.048	1.119	1.226	1.456	1.333	1.209	0.938	0.963	1.052	0.876	0.881	0.947	0.876	1.039	1.045	1.027	1.244	1.114	1.284	1.339	1.401	1.491	1.378	1.537	1.605	1.43	1.313	1.485	1.423	1.431	1.269	1.228	1.323	1.323	1.415	1.427	1.413	1.475	1.413	1.197	1.222	1.251	1.135	1.062	1.403	1.432	1.68	1.58	1.317	1.406	1.217	1.405	1.128	1.163	0.977	1.308	1.252	1.211	1.336	1.187	1.207	1.204	1.195	1.219	1.358	1.358	1.298	1.217	0.982	1.224	1.254	1.356	0.806	0.833	0.893
"7"	0.792	0.789	1.001	0.837	0.756	0.701	0	0.713	0.705	0.705	0.935	0.871	0.953	0.903	0.779	0.799	0.889	0.899	1.068	0.835	0.982	1.007	1.088	1.056	1.032	1.101	1.047	1.168	1.455	1.291	1.192	0.975	1.008	1.104	0.974	1.01	1.09	0.975	1.082	0.969	1.012	1.21	1.098	1.157	1.307	1.341	1.369	1.285	1.424	1.499	1.389	1.249	1.406	1.431	1.404	1.154	1.254	1.26	1.249	1.415	1.314	1.38	1.399	1.334	1.241	1.21	1.263	1.141	1.032	1.431	1.487	1.599	1.5	1.264	1.322	1.148	1.352	1.113	1.061	1.027	1.264	1.155	1.235	1.303	1.197	1.175	1.142	1.151	1.228	1.287	1.307	1.188	1.179	0.958	1.174	1.175	1.195	0.858	0.882	0.861
"8"	0.797	0.849	1.076	0.768	0.705	0.859	0.713	0	0.68	0.734	0.888	0.904	1.12	0.941	0.797	0.815	0.935	0.991	1.088	0.879	1.062	1.078	1.187	1.01	1.144	1.238	1.196	1.3	1.579	1.397	1.302	1.141	1.094	1.242	1.03	0.999	1.15	1.105	1.143	1.055	1.183	1.243	1.199	1.297	1.315	1.382	1.418	1.409	1.561	1.605	1.413	1.302	1.521	1.486	1.54	1.323	1.358	1.392	1.354	1.516	1.437	1.539	1.491	1.51	1.26	1.325	1.287	1.251	1.064	1.523	1.56	1.705	1.588	1.395	1.444	1.293	1.488	1.278	1.185	1.123	1.343	1.306	1.277	1.325	1.263	1.252	1.182	1.286	1.343	1.402	1.42	1.263	1.28	1.007	1.165	1.208	1.271	0.866	0.946	0.917
"9"	0.802	0.795	1.075	0.761	0.713	0.649	0.705	0.68	0	0.63	0.7	0.721	0.881	0.808	0.656	0.681	0.844	0.841	0.939	0.753	0.965	0.895	1.075	0.984	0.926	1.058	1.077	1.216	1.442	1.307	1.156	1.009	0.92	1.021	0.85	0.789	0.956	0.849	1.069	1.025	1.029	1.236	1.157	1.256	1.303	1.356	1.384	1.343	1.452	1.613	1.314	1.281	1.406	1.407	1.391	1.228	1.185	1.275	1.266	1.371	1.349	1.384	1.409	1.364	1.214	1.223	1.248	1.081	1.026	1.505	1.498	1.7	1.591	1.359	1.419	1.225	1.349	1.127	1.101	1.053	1.215	1.214	1.146	1.218	1.101	1.081	1.109	1.135	1.181	1.259	1.349	1.163	1.134	0.967	1.123	1.165	1.286	0.852	0.873	0.866
"10"	0.773	0.809	0.962	0.877	0.841	0.845	0.705	0.734	0.63	0	0.76	0.752	0.995	0.93	0.793	0.827	0.794	0.851	0.929	0.801	0.884	0.904	0.992	0.912	0.91	1.041	0.964	1.188	1.401	1.225	1.05	1.023	0.942	1.035	0.941	0.981	1.084	0.985	1.047	0.974	1.084	1.097	1.068	1.106	1.156	1.215	1.205	1.195	1.302	1.447	1.182	1.157	1.3	1.357	1.276	1.173	1.142	1.152	1.084	1.256	1.231	1.275	1.267	1.279	1.106	1.111	1.063	1.003	0.994	1.469	1.461	1.55	1.506	1.212	1.303	1.107	1.262	1.099	0.999	1.031	1.124	1.076	1.051	1.099	1.079	0.983	0.997	1.036	1.12	1.151	1.208	1.039	1.072	0.888	1.023	1.01	1.109	0.868	0.891	0.951
