"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"1"	0	0.783	0.874	0.696	1.084	1.109	1.063	1.16	0.972	1.148	1.214	1.181	1.13	1.271	1.307	1.073	1.361	0.983	1.066	1.106	0.993	1.104	1.029	0.781	0.987	1.049	0.949	1.157	0.964	0.948	0.88	1.149	1.209	1.055	0.984	1.11	1.209	1.235	1.046	1.102	1.351	1.12	0.985	1.032	1.161	1.107	0.979	1.031	0.796	1.283	1.149	1.388	1.301	1.099	1.211	0.868	0.872	0.785	1.05	0.925	1.034	0.803	0.928	1.311	1.307	1.108	1.1	1.02	1.013	1.102	1.301	1.064	0.943	1.059	1.105	1.202	1.104	1.15	0.916	1.42	1.321	1.228	0.816	1.164	1.183	1.162	1.148	1.113	0.963	0.872	0.921	0.995	0.924	0.786	0.988	0.855	0.953	1.008	1.018	0.914
"2"	0.783	0	0.582	0.859	1.056	0.865	0.804	0.876	0.869	0.985	0.962	0.923	0.958	0.977	0.933	0.876	1.012	0.825	1.014	0.902	0.824	0.923	0.791	0.672	1.015	0.779	0.883	0.946	0.761	0.679	0.766	0.844	1.042	0.789	0.863	0.832	0.924	0.88	0.833	0.826	0.918	0.94	0.802	0.804	0.94	0.928	0.742	0.802	0.804	1.033	1.051	1.08	0.919	0.904	1.029	0.971	0.779	0.714	0.78	0.773	0.819	0.781	0.779	0.985	0.998	0.838	0.825	0.748	0.888	0.929	0.898	0.899	0.72	0.944	0.813	1.021	0.803	0.823	0.851	1.04	1.146	0.944	0.669	0.899	0.834	0.946	0.865	0.884	0.766	0.853	0.814	0.771	0.726	0.862	0.842	0.793	0.861	0.759	0.812	0.788
"3"	0.874	0.582	0	0.885	1.101	0.854	0.744	0.827	0.949	1.01	0.994	0.956	0.954	1.003	0.969	0.957	0.962	0.941	1.216	0.993	0.873	1.029	0.955	0.762	1.174	0.907	0.92	1.08	0.862	0.812	0.83	0.915	1.132	0.792	0.966	0.924	1.006	0.957	0.885	0.868	1.048	0.965	0.815	0.898	1.016	0.991	0.812	0.897	0.899	1.15	1.158	1.216	1.117	1	1.141	1.055	0.824	0.862	0.87	0.865	0.917	0.94	0.929	1.108	0.971	0.908	0.918	0.911	1.003	1.018	0.942	0.867	0.751	1.093	0.866	1.141	0.917	0.906	0.912	1.066	1.24	1.102	0.862	1.057	0.978	1.047	0.861	0.92	0.825	0.904	0.845	0.776	0.897	1.003	0.991	0.908	1.028	0.915	0.929	0.856
"4"	0.696	0.859	0.885	0	0.981	1.093	0.98	1.08	1.001	1.124	1.209	1.138	1.04	1.252	1.304	1.074	1.219	1.139	1.249	1.188	1.089	1.236	1.133	0.93	1.178	1.238	0.987	1.222	0.957	1.012	0.853	1.119	1.27	0.952	0.965	1.148	1.217	1.182	1.067	1.081	1.347	1.147	0.945	1.041	1.134	1.162	0.987	1.002	0.936	1.377	1.197	1.437	1.338	1.16	1.259	1.068	1.034	0.953	1.064	0.954	1.06	0.969	1.013	1.373	1.364	1.18	1.148	1.12	1.111	1.218	1.28	1.011	0.982	1.166	1.144	1.228	1.074	1.216	0.965	1.33	1.46	1.346	0.993	1.225	1.23	1.307	1.181	1.205	1.052	0.982	1.009	1.037	1.074	0.871	1.125	0.979	1.081	1.003	1.056	0.941
"5"	1.084	1.056	1.101	0.981	0	1.122	1.001	1.411	0.969	0.856	1.179	1.199	1.349	1.569	1.45	1.3	1.518	1.264	1.589	1.097	1.436	1.236	1.096	0.97	1.376	1.403	1.024	1.196	0.957	1.205	0.948	1.02	1.255	1.323	0.99	1.384	1.304	1.432	1.339	1.272	1.554	1.548	1.286	1.19	1.203	1.544	1.4	1.413	1.151	1.526	1.685	1.74	1.569	1.485	1.557	1.252	1.345	1.13	1.354	1.301	1.343	1.196	1.308	1.569	1.588	1.466	1.395	1.382	1.172	1.254	1.392	1.181	1.201	1.285	1.332	1.374	1.282	1.305	1.09	1.544	1.356	1.461	1.147	1.466	1.48	1.529	1.274	1.274	1.2	1.286	1.239	1.334	1.113	1.07	1.295	1.194	1.198	1.127	1.229	1.171
"6"	1.109	0.865	0.854	1.093	1.122	0	0.843	0.879	0.959	1.052	0.992	1.018	1.078	1.098	1.054	1.039	1.109	1.051	1.342	0.83	1.018	0.986	0.915	0.881	1.182	1.077	0.891	1.088	0.901	1.03	0.853	0.87	1.126	1.039	0.953	1.112	1.087	1.062	1.072	1.106	1.134	1.181	1.07	0.939	0.903	1.103	1.114	1.032	1.037	1.097	1.365	1.298	1.187	1.149	1.288	1.195	0.969	0.897	0.989	1.031	1.023	1.042	1.097	1.205	1.163	1.094	1.021	1.047	0.978	1.043	1.04	0.875	0.842	1.115	1.037	1.171	1.011	0.937	1.035	1.049	1.214	1.177	0.941	1.123	1.151	1.21	0.881	0.951	0.807	1.004	0.937	0.941	0.851	1.213	1.077	0.996	1.096	0.863	0.993	0.875
"7"	1.063	0.804	0.744	0.98	1.001	0.843	0	0.766	0.694	0.812	0.816	0.771	0.859	0.959	0.848	0.861	0.849	0.934	1.305	0.837	0.963	0.885	0.853	0.847	1.124	1.02	0.765	0.831	0.724	0.859	0.664	0.663	0.95	0.788	0.772	1.055	1.05	0.901	0.81	0.756	1.016	1.006	0.826	0.835	0.823	1.062	0.896	0.876	0.913	1.045	1.229	1.211	1.087	1.093	1.146	1.188	0.946	0.92	0.837	0.861	0.891	0.968	0.903	1.081	0.984	0.974	0.97	0.974	0.895	0.879	0.845	0.708	0.758	0.955	0.891	0.952	0.779	0.784	0.732	0.863	1.122	1.131	0.939	1.056	0.952	1.089	0.782	0.864	0.865	0.869	0.92	0.864	0.864	1.084	0.972	0.885	0.948	0.801	0.845	0.817
"8"	1.16	0.876	0.827	1.08	1.411	0.879	0.766	0	1.035	1.207	0.929	0.853	0.886	0.739	0.886	0.945	0.787	1.052	1.224	1.127	0.86	1.05	1.052	1.044	1.188	0.965	0.965	1.069	0.942	0.899	0.981	1.004	1.172	0.783	1.061	1.054	1.181	0.853	0.87	0.865	0.826	0.858	0.832	0.96	0.919	0.929	0.814	0.697	1.025	1.011	1.075	1.026	0.983	0.998	1.054	1.312	0.869	0.981	0.798	0.849	0.96	1.06	0.928	0.983	0.847	0.893	0.931	0.835	1.057	1.096	0.877	0.782	0.802	1.108	0.9	1.016	0.822	0.827	0.988	0.824	1.359	1.155	0.964	1	0.913	1.123	0.923	0.981	0.95	0.9	0.946	0.768	1.006	1.236	1.054	1.03	1.077	0.856	0.866	0.863
"9"	0.972	0.869	0.949	1.001	0.969	0.959	0.694	1.035	0	0.818	0.787	0.793	0.854	1.033	0.943	0.844	1.08	0.788	1.218	0.772	1.015	0.868	0.834	0.763	0.909	1.027	0.687	0.618	0.53	0.881	0.638	0.641	0.828	0.988	0.735	1.066	0.99	0.91	0.848	0.862	1.15	1.058	0.881	0.685	0.801	1.083	0.984	0.958	0.813	1.025	1.199	1.229	1.067	1.02	1.057	1.02	0.909	0.922	0.875	0.849	0.894	0.812	0.851	1.01	1.075	0.969	0.916	0.937	0.744	0.794	0.955	0.821	0.832	0.76	0.862	0.768	0.795	0.861	0.736	0.998	0.958	1.121	0.851	1.009	0.992	1.168	0.931	0.941	0.944	0.864	1.007	1.055	0.87	0.934	0.952	0.863	0.849	0.791	0.759	0.86
"10"	1.148	0.985	1.01	1.124	0.856	1.052	0.812	1.207	0.818	0	0.8	0.876	1.163	1.264	1.202	1.14	1.284	1.155	1.508	1.017	1.225	1.085	0.991	0.912	1.303	1.255	0.9	0.984	0.845	1.122	0.876	0.833	1.022	1.108	0.976	1.225	1.301	1.183	1.182	1.161	1.382	1.303	1.041	0.924	1.034	1.296	1.224	1.209	1.021	1.324	1.529	1.571	1.369	1.341	1.414	1.193	1.112	1.082	1.156	1.13	1.178	1.163	1.165	1.366	1.284	1.287	1.236	1.237	1.089	1.169	1.248	0.954	1.042	1.098	1.065	1.147	1.111	1.105	1.016	1.26	1.115	1.347	1.071	1.313	1.29	1.37	1.157	1.145	1.042	1.074	1.146	1.119	1.076	1.182	1.196	1.055	1.025	0.986	1.055	1.013
"11"	1.214	0.962	0.994	1.209	1.179	0.992	0.816	0.929	0.787	0.8	0	0.561	0.923	0.905	0.89	1.014	1.064	1.008	1.396	0.999	1.049	0.954	0.989	0.956	1.171	1.108	0.828	0.844	0.807	0.992	0.981	0.829	0.862	1.051	1.022	1.129	1.168	0.971	0.953	0.954	1.088	1.054	0.924	0.834	0.931	1.135	1.026	0.997	1.057	1.086	1.319	1.23	1.121	1.173	1.174	1.307	0.989	1.082	0.991	1.022	1.071	1.116	1.034	1.08	1.029	1.107	1.057	1.003	1.027	1.054	1.03	0.951	0.956	0.95	0.891	0.883	0.866	0.957	0.977	1.015	1.106	1.254	1.061	1.133	1.107	1.279	1.037	1	1.013	1.023	1.156	1.07	1.109	1.237	1.186	1.089	1.078	0.942	0.925	1.05
"12"	1.181	0.923	0.956	1.138	1.199	1.018	0.771	0.853	0.793	0.876	0.561	0	0.912	0.825	0.851	0.942	1.02	0.962	1.344	1.049	1.023	0.958	1.015	0.978	1.13	1.033	0.793	0.774	0.807	0.919	0.966	0.903	0.94	1.004	1.042	1.175	1.206	0.959	1.011	0.91	1.053	0.999	0.905	0.88	0.867	1.125	0.952	0.9	1.005	1.067	1.221	1.169	1.111	1.129	1.075	1.303	0.961	1.062	0.905	0.907	1.051	1.023	0.986	0.971	1.019	1.084	1.077	0.943	1.016	1.005	0.974	0.898	0.883	0.9	0.788	0.791	0.778	0.911	0.933	0.98	1.223	1.181	1.023	1.006	1	1.203	1.037	1.038	1.05	1.01	1.156	1.025	1.122	1.207	1.144	1.128	1.089	0.884	0.856	1.045
"13"	1.13	0.958	0.954	1.04	1.349	1.078	0.859	0.886	0.854	1.163	0.923	0.912	0	0.83	0.876	0.841	0.893	0.975	1.147	1.054	0.919	0.978	1.01	1.018	1.114	1.07	0.954	1.005	0.88	0.899	0.877	0.886	1	0.942	1	1.043	1.037	0.879	0.922	0.91	1.073	0.957	0.883	0.852	1.067	0.888	0.844	0.871	0.96	1.027	1.095	1.097	0.985	0.988	1.035	1.114	0.887	1.081	0.935	0.974	0.968	1.04	0.953	1.017	0.934	0.911	0.943	0.947	0.965	1.019	0.943	0.885	0.892	0.954	0.95	0.918	0.848	0.952	0.99	0.922	1.078	1.208	1.065	1.077	0.995	1.197	0.947	1	0.964	0.953	1.03	0.972	1.117	1.165	1.079	0.97	1.02	0.934	0.937	0.985
